0,1,2,3,4,5,6,7,8,9,10
5,1,3,0,24.5,0,0,0,0,0,89
5,1,4,0,24.1,0,0,0,0,0,90
5,1,5,0,23.5,0,0,0,0,0,90
5,1,6,0,23.3,0,0,0,0,0,89
5,1,7,0,23.3,6.78,162.8784946,49.93698311,2.678,2.678,88
5,1,8,0,23.4,78,46.8,46.8,46.8,46.8,86
5,1,9,0,23.7,259.24,346.2071994,104.3968633,90.424,90.424,83
5,1,10,0,24.4,256,153.6,153.6,153.6,153.6,79
5,1,11,0,25.3,340,204,204,204,204,74
5,1,12,0,26.4,405,243,243,243,243,70
5,1,13,0,27.6,750.96,297.2435755,342.6208169,247.096,247.096,65
5,1,14,0,28.8,438,262.8,262.8,262.8,262.8,62
5,1,15,0,29.8,713.34,228.834,314.2722797,394.3258555,228.834,61
5,1,16,0,30.4,336,201.6,201.6,201.6,201.6,61
5,1,17,0,30,251,150.6,150.6,150.6,150.6,63
5,1,18,0,29.1,159,95.4,95.4,95.4,95.4,67
5,1,19,0,27.9,57,34.2,34.2,34.2,34.2,71
5,1,20,0,26.6,3,1.8,1.8,1.8,1.8,76
5,1,21,0,25.4,0,0,0,0,0,80
5,1,22,0,24.5,0,0,0,0,0,84
5,1,23,0,24,0,0,0,0,0,87
5,2,24,0,23.6,0,0,0,0,0,90
5,2,25,0,23.2,0,0,0,0,0,93
5,2,26,0,22.9,0,0,0,0,0,95
5,2,27,0,22.4,0,0,0,0,0,96
5,2,28,0,21.8,0,0,0,0,0,97
5,2,29,0,21.2,0,0,0,0,0,98
5,2,30,0,20.9,0,0,0,0,0,97
5,2,31,0,21.3,13.68,336.9883144,104.551234,4.868,4.868,96
5,2,32,0,22.4,88,52.8,52.8,52.8,52.8,92
5,2,33,0,23.9,463.5,671.0105437,174.6288805,142.85,142.85,87
5,2,34,0,25.7,287,172.2,172.2,172.2,172.2,80
5,2,35,0,27.4,1010.29,744.2150377,401.0683754,299.529,299.529,71
5,2,36,0,29,453,271.8,271.8,271.8,271.8,63
5,2,37,0,30.1,1254.4,465.1300638,546.0282634,371.44,371.44,56
5,2,38,0,30.5,490,294,294,294,294,51
5,2,39,0,29.9,450,270,270,270,270,50
5,2,40,0,28.7,376,225.6,225.6,225.6,225.6,52
5,2,41,0,27.3,281,168.6,168.6,168.6,168.6,59
5,2,42,0,25.8,179,107.4,107.4,107.4,107.4,67
5,2,43,0,24.4,83,49.8,49.8,49.8,49.8,76
5,2,44,0,23.3,3,1.8,1.8,1.8,1.8,85
5,2,45,0,22.8,0,0,0,0,0,92
5,2,46,0,22.7,0,0,0,0,0,97
5,2,47,0,22.2,0,0,0,0,0,99
5,3,48,0,21.2,0,0,0,0,0,100
5,3,49,0,20,0,0,0,0,0,100
5,3,50,0,18.8,0,0,0,0,0,99
5,3,51,0,17.7,0,0,0,0,0,98
5,3,52,0,17,0,0,0,0,0,98
5,3,53,0,16.6,0,0,0,0,0,98
5,3,54,0,16.4,0,0,0,0,0,99
5,3,55,0,16.4,1,0.6,0.6,0.6,0.6,99
5,3,56,0,16.5,12,7.2,7.2,7.2,7.2,99
5,3,57,0,16.6,25,15,15,15,15,99
5,3,58,0,16.7,39,23.4,23.4,23.4,23.4,98
5,3,59,0,16.7,51,30.6,30.6,30.6,30.6,97
5,3,60,0,16.7,61,36.6,36.6,36.6,36.6,96
