,room1_value_on,room1_value_off,room3_value_on,room3_value_off,room5_value_on,room5_value_off,room1_on/off,room3_on/off,room5_on/off
1758,0.14976930618286133,0.0,0.2216193974018097,0.0,0.34868958592414856,0.0,1.0,1.0,1.0
1759,0.31596124172210693,0.0,0.3202870786190033,0.0,-0.013659859076142311,0.0,1.0,1.0,1.0
1760,0.3343300223350525,0.0,0.34760838747024536,0.0,-0.07009830325841904,0.0,1.0,1.0,1.0
1761,0.33710962533950806,0.0,0.34999749064445496,0.0,-0.060182660818099976,0.0,1.0,1.0,1.0
1762,0.340328574180603,0.0,0.35376811027526855,0.0,-0.06387689709663391,0.0,1.0,1.0,1.0
1763,0.3420519530773163,0.0,0.3561664819717407,0.0,-0.07059888541698456,0.0,1.0,1.0,1.0
1764,0.3443453907966614,0.0,0.35876864194869995,0.0,-0.07610118389129639,0.0,1.0,1.0,1.0
1765,0.3498842716217041,0.0,0.3630317449569702,0.0,-0.08086322247982025,0.0,1.0,1.0,1.0
1766,0.3558124899864197,0.0,0.3668420612812042,0.0,-0.0769726037979126,0.0,1.0,1.0,1.0
1767,0.36339664459228516,0.0,0.37134531140327454,0.0,-0.0650099664926529,0.0,1.0,1.0,1.0
1768,0.36853939294815063,0.0,0.3737831711769104,0.0,-0.05098263546824455,0.0,1.0,1.0,1.0
1769,0.36539673805236816,0.0,0.3709213137626648,0.0,-0.05310746282339096,0.0,1.0,1.0,1.0
1770,0.3613723814487457,0.0,0.366548091173172,0.0,-0.05116559565067291,0.0,1.0,1.0,1.0
1771,0.3549150824546814,0.0,0.3608923554420471,0.0,-0.05121931433677673,0.0,1.0,1.0,1.0
1772,0.21477505564689636,0.0,0.22233164310455322,0.0,0.3345048427581787,0.0,1.0,1.0,1.0
1773,0.15729691088199615,0.0,0.17754843831062317,0.0,0.35950082540512085,0.0,1.0,1.0,1.0
1774,0.15973982214927673,0.0,0.17285239696502686,0.0,0.3610643744468689,0.0,1.0,1.0,1.0
1775,0.16724196076393127,0.0,0.22925838828086853,0.0,0.3618490695953369,0.0,1.0,1.0,1.0
1776,0.16554167866706848,0.0,0.22724682092666626,0.0,0.36213982105255127,0.0,1.0,1.0,1.0
1777,0.16355657577514648,0.0,0.2252773642539978,0.0,0.36396360397338867,0.0,1.0,1.0,1.0
1778,0.16151034832000732,0.0,0.2234707921743393,0.0,0.3638233542442322,0.0,1.0,1.0,1.0
1779,0.1588420271873474,0.0,0.22111523151397705,0.0,0.3624139726161957,0.0,1.0,1.0,1.0
1780,0.15594607591629028,0.0,0.21851873397827148,0.0,0.359924852848053,0.0,1.0,1.0,1.0
1781,0.15392231941223145,0.0,0.21644295752048492,0.0,0.35891494154930115,0.0,1.0,1.0,1.0
1782,0.1515846699476242,0.0,0.2146955132484436,0.0,0.3576030135154724,0.0,1.0,1.0,1.0
1783,0.3161550462245941,0.0,0.311260461807251,0.0,0.014390477910637856,0.0,1.0,1.0,1.0
1784,0.3331187069416046,0.0,0.33486631512641907,0.0,-0.036935728043317795,0.0,1.0,1.0,1.0
1785,0.33470863103866577,0.0,0.33567366003990173,0.0,-0.023996230214834213,0.0,1.0,1.0,1.0
1786,0.33644330501556396,0.0,0.3376908600330353,0.0,-0.02292841672897339,0.0,1.0,1.0,1.0
1787,0.3381696343421936,0.0,0.339675635099411,0.0,-0.02462713234126568,0.0,1.0,1.0,1.0
1788,0.3404812812805176,0.0,0.3424357771873474,0.0,-0.028248369693756104,0.0,1.0,1.0,1.0
