,action_room1,action_room3,action_room5
1934,26.57565971043706,26.632553003191948,25.012214999854564
1935,26.629242255806922,26.6648880610466,25.055497650265693
1936,26.666614815115928,26.683826401293278,25.093721408605575
1937,26.624276950478553,26.652370057463646,25.092796918213367
1938,26.57096301716566,26.60812699741125,25.06782673692703
1939,26.549300357222556,26.574672642558813,25.04197415357828
1940,25.620992390334607,25.639136529803277,26.566797341287135
1941,25.495175930567086,25.433967550560833,26.75046205061674
1942,25.493691468972713,25.416262612953783,26.747400532543658
1943,25.522299950439482,25.64906706660986,26.738323546409607
1944,25.55334032556042,25.64669695496559,26.724284082114696
1945,25.560658404566347,25.645658928900957,26.71714062190056
1946,25.581131420992314,25.64184783399105,26.711585364699364
1947,25.586539030969142,25.64444573223591,26.69980152642727
1948,25.603037471845745,25.647714640945196,26.683756239175796
1949,25.60430254690349,25.648250993341208,26.65730885362625
1950,25.600738544911145,25.6494782269001,26.639737143576145
1951,26.44047365476191,26.305975201934576,25.093518365383147
1952,26.489032735571264,26.456994533002376,24.90878015218675
1953,26.497757609456777,26.46451683847606,24.947108198165893
1954,26.505180533498525,26.49196872806549,24.95768259486556
1955,26.519803042978047,26.513296748906374,24.97003327330947
1956,26.538154962927102,26.539415217399597,24.97060957944393
1957,26.558354511380195,26.566751945227384,24.979015756607055
1958,26.577354408323764,26.590893826842308,25.00553518182039
1959,26.624190829217433,26.628906249463558,25.053579088509082
1960,26.683111115813254,26.671805969834327,25.090942148327827
1961,26.662683076679706,26.667856394708156,25.07245801782608
1962,26.6421080301404,26.659717142045498,25.040733542501926
1963,26.607410281419753,26.641898959338665,25.00615026822686
1964,25.68201809924841,25.72545801782608,26.535833171635865
1965,25.519025229278952,25.556010687068106,26.687850887954234
1966,25.527866906382144,25.54243162674457,26.68975552457571
1967,25.544565831506624,25.763337106909603,26.691194027125835
1968,25.539873220920562,25.740422222064808,26.682212516129017
1969,25.530317795425653,25.715193283744156,26.69889239168167
1970,25.526964904237538,25.701357753947377,26.71337245351076
1971,25.52453541379422,25.691530061885715,26.726298197567463
1972,25.52577438481152,25.688861252740026,26.72951432263851
1973,25.528941302523016,25.690190728753805,26.73016746288538
1974,25.534319803197867,25.695697281509638,26.72809753513336
1975,26.41619228989631,26.36205543989688,25.173202056646346
1976,26.537845983624457,26.548382456809282,25.00150407871604
1977,26.566336161911487,26.568557206004858,25.017082091629504
1978,26.593765861809253,26.59332428818941,25.026607442855834
1979,26.6344930152297,26.62640833055973,25.040884036779403
1980,26.70167837244272,26.67062774246931,25.056262772738933
1981,26.74235246282816,26.7006132299304,25.061714049637317
1982,26.76167992454767,26.71543254649639,25.068503905296325
1983,26.73670241189003,26.701157226622104,25.06927622503042
1984,26.66624963235855,26.65750979578495,25.050046596884727
1985,26.598287261545657,26.60814036375284,25.01785005277395
1986,26.561306695908307,26.56711596569419,24.999895010352134
1987,26.52904633757472,26.523003763914108,24.987739149689673
1988,25.61359932821989,25.58957527512312,26.55626341241598
1989,25.52252172621712,25.411703567296268,26.772087383151053
1990,25.55303881493211,25.410378220766784,26.801109912872313
1991,25.58725893586874,25.65685644187033,26.802387885212898
1992,25.59039021372795,25.651999603956938,26.77674377655983
1993,25.596713024154305,25.64907046407461,26.767887256503105
1994,25.597234613224863,25.645988449454308,26.747929274499416
1995,25.59652247555554,25.644101414829493,26.735555439651012
1996,25.605916119143366,25.641876757144928,26.731232344567776
1997,25.611118855848908,25.63852098956704,26.72877901738882
1998,25.6171840903908,25.635355480015278,26.725972867965698
1999,26.473720004305243,26.284791036903858,25.179662559390067
2000,26.51435358774662,26.457378044188022,25.013599265575408
2001,26.528459649056195,26.450206253141165,25.03533440104127
2002,26.522325090587138,26.447246114186942,25.030186549037694
2003,26.51776768219471,26.445655659236014,25.01271173378825
2004,26.51486421328783,26.446646601356566,24.986189346969127
2005,26.510143827170133,26.450321560189128,24.96405483058095
2006,26.511959313869475,26.45964823795855,24.956559799820184
2007,26.515296797722577,26.476449645519256,24.971514534413814
2008,26.516865252971648,26.49579194879532,25.01899749061465
2009,26.516604318737983,26.51231865903735,25.073077071666717
2010,26.519666607946156,26.520743298739195,25.09236061221361
2011,26.51460059684515,26.52048425322771,25.08320871388912
2012,25.6093680652678,25.620647113114597,26.60756439256668
2013,25.494380592729897,25.441273345887662,26.753089833140372
2014,25.514995489980095,25.45101400026679,26.747866901636122
2015,25.54980111444369,25.693322906270623,26.742354861855507
2016,25.55187747530639,25.680515855550766,26.728922828495502
2017,25.5683570792526,25.674506215378642,26.73543659543991
2018,25.5769505668059,25.672025898471475,26.740732393622398
2019,25.59144080147147,25.668935127556324,26.744379504978657
2020,25.609041099399327,25.663626169785857,26.743595607042312
2021,25.609190509617328,25.66199640929699,26.733445189356804
2022,25.6100889211148,25.66108792833984,26.730417780041694
2023,26.446509208984672,26.31439086741209,25.186211262106895
2024,26.518728851795196,26.513659763544798,25.040800687134265
2025,26.53348694694042,26.53160837984085,25.064596887886523
2026,26.552272837132215,26.55590487962961,25.055690746963023
2027,26.574969566881656,26.57981789058447,25.03112088537216
2028,26.60871931117773,26.60910915529728,24.987873874813317
2029,26.63369543802738,26.63201832717657,24.955732193052768
2030,26.684331967949866,26.66339199191332,24.94219096584618
2031,26.74419491690397,26.694602734804153,24.96754945835471
2032,26.783503695845603,26.71576078182459,24.994017217516898
2033,26.75576773238182,26.697788796782493,24.993675571143626
2034,26.712645813345908,26.667443490982055,24.99816063812375
2035,26.657207525789737,26.63278470134735,24.9910308907032
2036,25.711853226542473,25.702834210634233,26.543245009213685
2037,25.539848219498992,25.494977076115088,26.745222690582274
2038,25.539921524830163,25.478690382368864,26.7487455933094
2039,25.55469731517136,25.707222560420632,26.757168679893017
2040,25.547970433449372,25.69105352833867,26.748586259245872
2041,25.53861866244464,25.6772900801152,26.765144809544086
2042,25.54220620597247,25.66652063652873,26.78162123954296
2043,25.565030508637427,25.66187598928809,26.77883880531788
2044,25.588972068354487,25.655629012733698,26.775229311943054
2045,25.603971176743507,25.65223539248109,26.772128655970096
2046,25.60214683316648,25.650051582604647,26.775084450304508
2047,26.458351857483386,26.29843833988905,25.228692222595214
2048,26.507500141382216,26.490171659201383,25.03901127374172
2049,26.515616315871476,26.49296102246642,25.06937155520916
2050,26.522071163624524,26.52252310088277,25.07709571367502
