,action1,action3,action5
227,25.0,26.0,25.5
228,25.0,26.0,25.5
229,25.0,26.0,25.5
230,26.0,26.0,26.0
231,26.0,26.0,26.0
232,26.0,26.0,26.0
233,26.0,26.0,26.0
234,26.0,26.0,26.0
235,26.0,26.0,26.0
236,26.0,26.0,26.0
237,25.0,26.0,25.5
238,25.0,26.0,25.5
239,25.0,26.0,25.5
240,25.0,26.0,25.5
241,25.0,26.0,25.5
242,25.0,26.0,25.5
243,25.0,26.0,25.5
244,25.0,26.0,25.5
245,25.0,26.0,25.5
246,25.0,26.0,25.5
247,25.5,27.0,26.5
248,25.5,27.0,26.5
249,25.5,27.0,26.5
250,25.5,27.0,26.5
251,26.0,25.5,25.5
252,25.0,25.0,26.0
253,25.0,25.0,26.0
254,25.0,25.0,26.0
255,25.0,25.0,26.0
256,25.0,25.0,26.0
257,25.5,25.0,25.0
258,25.5,25.0,25.0
259,25.5,25.0,25.0
260,26.0,24.5,26.0
261,26.0,24.5,26.0
262,26.0,24.5,26.0
263,26.0,24.5,26.0
264,26.0,24.5,26.0
265,26.0,24.5,26.0
266,26.0,24.5,26.0
267,26.0,24.5,26.0
268,26.0,24.5,26.0
269,26.0,24.5,26.0
270,25.5,25.5,25.5
271,25.5,25.5,25.5
272,25.5,25.5,25.5
273,25.5,25.5,25.5
274,25.5,25.5,25.5
275,25.5,25.5,25.5
276,25.5,25.5,25.5
277,25.5,25.5,25.5
278,25.5,25.5,25.5
279,25.5,26.0,26.0
280,26.5,25.0,26.0
281,26.5,25.0,26.0
282,26.0,26.5,27.0
283,26.0,26.5,27.0
284,26.0,26.5,27.0
285,26.0,26.5,27.0
286,26.0,26.5,27.0
287,26.0,26.5,27.0
288,25.0,24.5,26.0
289,25.0,24.5,26.0
290,25.0,24.5,26.0
291,25.0,24.5,26.0
292,25.0,24.5,26.0
293,25.0,24.5,26.0
294,25.0,24.5,26.0
295,25.0,24.5,26.0
296,25.0,24.5,26.0
297,25.0,24.5,26.0
298,25.0,24.5,26.0
299,25.0,24.5,26.0
300,25.0,24.5,26.0
301,25.0,24.5,26.0
302,25.0,24.5,26.0
303,25.0,24.5,26.0
304,25.0,24.5,26.0
305,25.0,24.5,26.0
306,25.0,24.5,26.0
307,25.0,24.5,26.0
308,25.0,24.5,26.0
309,25.0,24.5,26.0
310,25.0,24.5,26.0
311,25.5,26.5,25.5
312,25.5,26.5,25.5
313,25.5,26.5,25.5
314,25.5,26.5,25.5
315,25.5,26.5,25.5
316,25.5,26.5,25.5
317,25.5,26.5,25.5
318,25.5,26.0,26.0
319,25.5,26.0,26.0
320,25.5,26.0,26.0
