1,2,3,4,5,6,7,8,9,10,11
1,2,25,0,5.1,0,0,0,0,0,88
1,2,26,0,5.1,0,0,0,0,0,88
1,2,27,0,5.1,0,0,0,0,0,87
1,2,28,0,5,0,0,0,0,0,85
1,2,29,0,5,0,0,0,0,0,83
1,2,30,0,4.9,0,0,0,0,0,80
1,2,31,0,4.9,0,0,0,0,0,76
1,2,32,0,5.6,24,14.4,14.4,14.4,14.4,73
1,2,33,0,6.4,67,40.2,40.2,40.2,40.2,69
1,2,34,0,7.1,109,65.4,65.4,65.4,65.4,65
1,2,35,0,7.6,143,85.8,85.8,85.8,85.8,61
1,2,36,0,8.2,161,96.6,96.6,96.6,96.6,59
1,2,37,0,8.9,161,96.6,96.6,96.6,96.6,57
1,2,38,0,9.8,141,84.6,84.6,84.6,84.6,57
1,2,39,0,10.6,107,64.2,64.2,64.2,64.2,58
1,2,40,0,10.5,64,38.4,38.4,38.4,38.4,60
1,2,41,0,10.2,22,13.2,13.2,13.2,13.2,64
1,2,42,0,9.8,0,0,0,0,0,67
1,2,43,0,9.4,0,0,0,0,0,71
1,2,44,0,9.1,0,0,0,0,0,74
1,2,45,0,8.9,0,0,0,0,0,76
1,2,46,0,8.8,0,0,0,0,0,77
1,2,47,0,8.6,0,0,0,0,0,79
1,3,48,0,8.4,0,0,0,0,0,80
1,3,49,0,8.1,0,0,0,0,0,81
1,3,50,0,7.5,0,0,0,0,0,84
1,3,51,0,6.7,0,0,0,0,0,87
1,3,52,0,5.7,0,0,0,0,0,91
1,3,53,0,4.8,0,0,0,0,0,95
1,3,54,0,4.1,0,0,0,0,0,98
1,3,55,0,3.8,0,0,0,0,0,99
1,3,56,0,4.1,61.24,156.1099083,104.6939285,26.624,26.624,98
1,3,57,0,4.8,92,55.2,55.2,55.2,55.2,94
1,3,58,0,5.9,151,90.6,90.6,90.6,90.6,89
1,3,59,0,7.1,406.38,261.6223632,376.336586,162.138,162.138,83
1,3,60,0,8.4,224,134.4,134.4,134.4,134.4,76
1,3,61,0,9.7,475.5,184.55,435.7015437,225.7716308,184.55,71
1,3,62,0,10.9,428.31,162.831,410.8911455,282.5862335,162.831,68
1,3,63,0,11.6,340.62,125.062,363.0930144,321.6301387,125.062,67
1,3,64,0,11.3,89,53.4,53.4,53.4,53.4,69
1,3,65,0,10.6,38,22.8,22.8,22.8,22.8,73
1,3,66,0,9.6,0,0,0,0,0,77
1,3,67,0,8.6,0,0,0,0,0,81
1,3,68,0,7.9,0,0,0,0,0,84
1,3,69,0,7.6,0,0,0,0,0,86
1,3,70,0,7.5,0,0,0,0,0,87
1,3,71,0,7.7,0,0,0,0,0,87
1,4,72,0,7.9,0,0,0,0,0,86
1,4,73,0,8.1,0,0,0,0,0,86
1,4,74,0,8.1,0,0,0,0,0,86
1,4,75,0,7.8,0,0,0,0,0,87
1,4,76,0,7.4,0,0,0,0,0,88
1,4,77,0,6.9,0,0,0,0,0,90
1,4,78,0,6.5,0,0,0,0,0,91
1,4,79,0,6.3,0,0,0,0,0,90
1,4,80,0,6.9,26,15.6,15.6,15.6,15.6,89
1,4,81,0,7.8,71,42.6,42.6,42.6,42.6,86
1,4,82,0,8.7,116,69.6,69.6,69.6,69.6,82
1,4,83,0,9.5,151,90.6,90.6,90.6,90.6,77
1,4,84,0,10.3,171,102.6,102.6,102.6,102.6,73
1,4,85,0,11.1,171,102.6,102.6,102.6,102.6,69
1,4,86,0,11.9,150,90,90,90,90,67
1,4,87,0,12.4,113,67.8,67.8,67.8,67.8,66
1,4,88,0,12.1,68,40.8,40.8,40.8,40.8,68
1,4,89,0,11.4,24,14.4,14.4,14.4,14.4,70
1,4,90,0,10.6,0,0,0,0,0,73
1,4,91,0,9.9,0,0,0,0,0,76
1,4,92,0,9.5,0,0,0,0,0,79
1,4,93,0,9.5,0,0,0,0,0,81
1,4,94,0,9.3,0,0,0,0,0,82
1,4,95,0,8.9,0,0,0,0,0,83
1,5,96,0,8.4,0,0,0,0,0,84
1,5,97,0,8.1,0,0,0,0,0,84
1,5,98,0,7.9,0,0,0,0,0,84
1,5,99,0,7.8,0,0,0,0,0,84
1,5,100,0,7.5,0,0,0,0,0,84
1,5,101,0,7.2,0,0,0,0,0,84
1,5,102,0,7,0,0,0,0,0,83
1,5,103,0,7,0,0,0,0,0,83
1,5,104,0,7.3,11,6.6,6.6,6.6,6.6,82
1,5,105,0,7.6,30,18,18,18,18,81
1,5,106,0,7.8,49,29.4,29.4,29.4,29.4,80
1,5,107,0,8,64,38.4,38.4,38.4,38.4,79
1,5,108,0,8.1,72,43.2,43.2,43.2,43.2,78
1,5,109,0,8.1,72,43.2,43.2,43.2,43.2,77
1,5,110,0,8.2,63,37.8,37.8,37.8,37.8,77
1,5,111,0,8.2,48,28.8,28.8,28.8,28.8,77
1,5,112,0,8.3,29,17.4,17.4,17.4,17.4,77
1,5,113,0,8.3,10,6,6,6,6,77
1,5,114,0,8.3,0,0,0,0,0,77
1,5,115,0,8.3,0,0,0,0,0,77
1,5,116,0,8.2,0,0,0,0,0,76
1,5,117,0,8.1,0,0,0,0,0,75
1,5,118,0,8,0,0,0,0,0,73
1,5,119,0,8,0,0,0,0,0,72
1,6,120,0,8.1,0,0,0,0,0,71
1,6,121,0,8.4,0,0,0,0,0,70
1,6,122,0,8.7,0,0,0,0,0,70
1,6,123,0,8.8,0,0,0,0,0,71
1,6,124,0,8.8,0,0,0,0,0,72
1,6,125,0,8.6,0,0,0,0,0,74
1,6,126,0,8.4,0,0,0,0,0,76
1,6,127,0,8.3,0,0,0,0,0,78
1,6,128,0,8.2,11,6.6,6.6,6.6,6.6,80
1,6,129,0,8.2,29,17.4,17.4,17.4,17.4,81
1,6,130,0,8.4,47,28.2,28.2,28.2,28.2,81
1,6,131,0,8.6,62,37.2,37.2,37.2,37.2,80
1,6,132,0,9,70,42,42,42,42,79
1,6,133,0,9.4,70,42,42,42,42,78
1,6,134,0,9.9,61,36.6,36.6,36.6,36.6,76
1,6,135,0,10.4,46,27.6,27.6,27.6,27.6,74
1,6,136,0,10.6,28,16.8,16.8,16.8,16.8,72
1,6,137,0,10.4,10,6,6,6,6,70
1,6,138,0,9.9,0,0,0,0,0,68
1,6,139,0,9.3,0,0,0,0,0,66
1,6,140,0,9.1,0,0,0,0,0,65
1,6,141,0,9.2,0,0,0,0,0,64
1,6,142,0,8.9,0,0,0,0,0,63
1,6,143,0,8.4,0,0,0,0,0,63
1,7,144,0,7.7,0,0,0,0,0,64
1,7,145,0,7.1,0,0,0,0,0,65
1,7,146,0,6.8,0,0,0,0,0,67
1,7,147,0,6.7,0,0,0,0,0,69
1,7,148,0,6.5,0,0,0,0,0,73
1,7,149,0,6.3,0,0,0,0,0,76
1,7,150,0,5.9,0,0,0,0,0,79
1,7,151,0,5.6,0,0,0,0,0,82
1,7,152,0,5.3,6,3.6,3.6,3.6,3.6,85
1,7,153,0,5,15,9,9,9,9,87
1,7,154,0,4.8,24,14.4,14.4,14.4,14.4,88
1,7,155,0,4.7,32,19.2,19.2,19.2,19.2,88
1,7,156,0,4.6,36,21.6,21.6,21.6,21.6,89
1,7,157,0,4.5,36,21.6,21.6,21.6,21.6,89
1,7,158,0,4.5,31,18.6,18.6,18.6,18.6,89
1,7,159,0,4.4,24,14.4,14.4,14.4,14.4,90
1,7,160,0,4.4,14,8.4,8.4,8.4,8.4,90
1,7,161,0,4.3,5,3,3,3,3,91
1,7,162,0,4.3,0,0,0,0,0,92
1,7,163,0,4.4,0,0,0,0,0,93
1,7,164,0,4.5,0,0,0,0,0,94
1,7,165,0,4.5,0,0,0,0,0,95
1,7,166,0,4.4,0,0,0,0,0,96
1,7,167,0,4.3,0,0,0,0,0,97
1,8,168,0,4.2,0,0,0,0,0,97
1,8,169,0,4.1,0,0,0,0,0,98
1,8,170,0,4,0,0,0,0,0,99
1,8,171,0,3.9,0,0,0,0,0,100
1,8,172,0,3.9,0,0,0,0,0,101
1,8,173,0,3.9,0,0,0,0,0,101
1,8,174,0,3.9,0,0,0,0,0,101
1,8,175,0,3.9,0,0,0,0,0,100
1,8,176,0,4.4,79.62,227.1601672,147.5857193,31.962,31.962,98
1,8,177,0,5.2,231.61,318.7904568,278.7825269,88.161,88.161,94
1,8,178,0,5.9,180,108,108,108,108,90
1,8,179,0,6.7,522.76,339.2692377,507.2083729,190.276,190.276,85
