1,1,0,0,6.47,0,0,0,0,0,89.4
1,1,1,0,5.71,0,0,0,0,0,90.9
1,1,2,0,5.4,0,0,0,0,0,92.3
1,1,3,0,4.98,0,0,0,0,0,93.6
1,1,4,0,4.01,0,0,0,0,0,94.4
1,1,5,0,2.93,0,0,0,0,0,94.6
1,1,6,0,2.2,0,0,0,0,0,94
1,1,7,0,2.15,9.63,252.4340429,135.7123859,3.123,3.123,92.1
1,1,8,0,2.7,74.49,44.694,44.694,44.694,44.694,89.2
1,1,9,0,3.67,255.01,326.5245244,344.6233825,82.696,82.696,84.9
1,1,10,0,4.88,369.45,304.0505432,435.9933396,119.8,119.8,79.7
1,1,11,0,6.17,446.68,239.687876,496.6201836,144.848,144.848,74.6
1,1,12,0,7.38,470.44,152.549,515.1608177,162.9363343,152.549,69.9
1,1,13,0,8.35,255.91,153.546,153.546,153.546,153.546,66.6
1,1,14,0,8.9,205.44,123.264,123.264,123.264,123.264,65.2
1,1,15,0,8.93,230.73,74.818,325.0915867,326.2324756,74.818,66.3
1,1,16,0,8.52,241.1,63.325,596.2693289,828.8585965,63.325,69.5
1,1,17,0,7.83,0,0,0,0,0,73.7
1,1,18,0,7,0,0,0,0,0,78.3
1,1,19,0,6.17,0,0,0,0,0,82.9
1,1,20,0,5.5,0,0,0,0,0,86.3
1,1,21,0,5.08,0,0,0,0,0,88.2
1,1,22,0,4.86,0,0,0,0,0,88.8
1,1,23,0,4.71,0,0,0,0,0,88.8
1,1,0,0,6.47,0,0,0,0,0,89.4
1,1,1,0,5.71,0,0,0,0,0,90.9
1,1,2,0,5.4,0,0,0,0,0,92.3
1,1,3,0,4.98,0,0,0,0,0,93.6
1,1,4,0,4.01,0,0,0,0,0,94.4
1,1,5,0,2.93,0,0,0,0,0,94.6
1,1,6,0,2.2,0,0,0,0,0,94
1,1,7,0,2.15,9.63,252.4340429,135.7123859,3.123,3.123,92.1
1,1,8,0,2.7,74.49,44.694,44.694,44.694,44.694,89.2
1,1,9,0,3.67,255.01,326.5245244,344.6233825,82.696,82.696,84.9
1,1,10,0,4.88,369.45,304.0505432,435.9933396,119.8,119.8,79.7
1,1,11,0,6.17,446.68,239.687876,496.6201836,144.848,144.848,74.6
1,1,12,0,7.38,470.44,152.549,515.1608177,162.9363343,152.549,69.9
1,1,13,0,8.35,255.91,153.546,153.546,153.546,153.546,66.6
1,1,14,0,8.9,205.44,123.264,123.264,123.264,123.264,65.2
1,1,15,0,8.93,230.73,74.818,325.0915867,326.2324756,74.818,66.3
1,1,16,0,8.52,241.1,63.325,596.2693289,828.8585965,63.325,69.5
1,1,17,0,7.83,0,0,0,0,0,73.7
1,1,18,0,7,0,0,0,0,0,78.3
1,1,19,0,6.17,0,0,0,0,0,82.9
1,1,20,0,5.5,0,0,0,0,0,86.3
1,1,21,0,5.08,0,0,0,0,0,88.2
1,1,22,0,4.86,0,0,0,0,0,88.8
1,1,23,0,4.71,0,0,0,0,0,88.8
1,1,0,0,6.47,0,0,0,0,0,89.4
1,1,1,0,5.71,0,0,0,0,0,90.9
1,1,2,0,5.4,0,0,0,0,0,92.3
1,1,3,0,4.98,0,0,0,0,0,93.6
1,1,4,0,4.01,0,0,0,0,0,94.4
1,1,5,0,2.93,0,0,0,0,0,94.6
1,1,6,0,2.2,0,0,0,0,0,94
1,1,7,0,2.15,9.63,252.4340429,135.7123859,3.123,3.123,92.1
1,1,8,0,2.7,74.49,44.694,44.694,44.694,44.694,89.2
1,1,9,0,3.67,255.01,326.5245244,344.6233825,82.696,82.696,84.9
1,1,10,0,4.88,369.45,304.0505432,435.9933396,119.8,119.8,79.7
1,1,11,0,6.17,446.68,239.687876,496.6201836,144.848,144.848,74.6
1,1,12,0,7.38,470.44,152.549,515.1608177,162.9363343,152.549,69.9
1,1,13,0,8.35,255.91,153.546,153.546,153.546,153.546,66.6
1,1,14,0,8.9,205.44,123.264,123.264,123.264,123.264,65.2
1,1,15,0,8.93,230.73,74.818,325.0915867,326.2324756,74.818,66.3
1,1,16,0,8.52,241.1,63.325,596.2693289,828.8585965,63.325,69.5
1,1,17,0,7.83,0,0,0,0,0,73.7
1,1,18,0,7,0,0,0,0,0,78.3
1,1,19,0,6.17,0,0,0,0,0,82.9
1,1,20,0,5.5,0,0,0,0,0,86.3
1,1,21,0,5.08,0,0,0,0,0,88.2
1,1,22,0,4.86,0,0,0,0,0,88.8
1,1,23,0,4.71,0,0,0,0,0,88.8
1,1,0,0,6.47,0,0,0,0,0,89.4
1,1,1,0,5.71,0,0,0,0,0,90.9
1,1,2,0,5.4,0,0,0,0,0,92.3
1,1,3,0,4.98,0,0,0,0,0,93.6
1,1,4,0,4.01,0,0,0,0,0,94.4
1,1,5,0,2.93,0,0,0,0,0,94.6
1,1,6,0,2.2,0,0,0,0,0,94
1,1,7,0,2.15,9.63,252.4340429,135.7123859,3.123,3.123,92.1
1,1,8,0,2.7,74.49,44.694,44.694,44.694,44.694,89.2
1,1,9,0,3.67,255.01,326.5245244,344.6233825,82.696,82.696,84.9
1,1,10,0,4.88,369.45,304.0505432,435.9933396,119.8,119.8,79.7
1,1,11,0,6.17,446.68,239.687876,496.6201836,144.848,144.848,74.6
1,1,12,0,7.38,470.44,152.549,515.1608177,162.9363343,152.549,69.9
1,1,13,0,8.35,255.91,153.546,153.546,153.546,153.546,66.6
1,1,14,0,8.9,205.44,123.264,123.264,123.264,123.264,65.2
1,1,15,0,8.93,230.73,74.818,325.0915867,326.2324756,74.818,66.3
