0,1,2,3,4,5,6,7,8,9,10
1,2,34,0,7.31,111.23,63.96,63.96,63.96,63.96,86.6
1,2,35,0,7.75,159.27,91.58,91.58,91.58,91.58,84.4
1,2,36,0,8.2,191.61,110.18,110.18,110.18,110.18,82.3
1,2,37,0,8.78,201.53,115.88,115.88,115.88,115.88,80.5
1,2,38,0,9.6,186.95,107.5,107.5,107.5,107.5,79.4
1,2,39,0,10.3,150.92,86.78,86.78,86.78,86.78,79.2
1,2,40,0,10.06,100.91,58.02,58.02,58.02,58.02,79.7
1,2,41,0,9.47,46.91,26.97,26.97,26.97,26.97,80.9
1,2,42,0,8.75,0,0,0,0,0,82.5
1,2,43,0,8.12,0,0,0,0,0,84.4
1,2,44,0,7.8,0,0,0,0,0,86.3
1,2,45,0,7.8,0,0,0,0,0,88.2
1,2,46,0,7.52,0,0,0,0,0,89.9
1,2,47,0,6.92,0,0,0,0,0,91.5
1,3,48,0,6.16,0,0,0,0,0,92.9
1,3,49,0,5.4,0,0,0,0,0,93.8
1,3,50,0,4.8,0,0,0,0,0,94.4
1,3,51,0,4.48,0,0,0,0,0,94.5
1,3,52,0,4.41,0,0,0,0,0,94.4
1,3,53,0,4.54,0,0,0,0,0,93.7
1,3,54,0,4.8,0,0,0,0,0,93
1,3,55,0,5.14,0,0,0,0,0,91.8
1,3,56,0,5.5,0.93,0.53,0.53,0.53,0.53,90.4
1,3,57,0,5.83,7.08,4.07,4.07,4.07,4.07,88.9
1,3,58,0,6.12,13.75,7.91,7.91,7.91,7.91,87.3
1,3,59,0,6.37,19.67,11.31,11.31,11.31,11.31,86
1,3,60,0,6.58,23.66,13.6,13.6,13.6,13.6,84.7
1,3,61,0,6.76,24.89,14.31,14.31,14.31,14.31,83.8
1,3,62,0,6.9,23.09,13.28,13.28,13.28,13.28,83.5
1,3,63,0,7.01,18.64,10.72,10.72,10.72,10.72,83.8
1,3,64,0,7.09,12.48,7.18,7.18,7.18,7.18,84.6
1,3,65,0,7.14,5.81,3.34,3.34,3.34,3.34,85.7
1,3,66,0,7.16,0,0,0,0,0,86.9
1,3,67,0,7.14,0,0,0,0,0,88.3
1,3,68,0,7.1,0,0,0,0,0,89.4
1,3,69,0,7.03,0,0,0,0,0,90.3
1,3,70,0,6.93,0,0,0,0,0,91.1
1,3,71,0,6.82,0,0,0,0,0,91.6
1,4,72,0,6.71,0,0,0,0,0,92.2
1,4,73,0,6.6,0,0,0,0,0,92.7
1,4,74,0,6.5,0,0,0,0,0,93.5
1,4,75,0,6.42,0,0,0,0,0,94.4
1,4,76,0,6.37,0,0,0,0,0,95.2
1,4,77,0,6.33,0,0,0,0,0,95.9
1,4,78,0,6.31,0,0,0,0,0,96.2
1,4,79,0,6.3,0,0,0,0,0,95.8
1,4,80,0,6.4,4.28,2.46,2.46,2.46,2.46,94.5
1,4,81,0,6.55,31.78,18.27,18.27,18.27,18.27,92.2
1,4,82,0,6.73,61.62,35.43,35.43,35.43,35.43,89.2
1,4,83,0,6.98,88.13,50.67,50.67,50.67,50.67,86.1
1,4,84,0,7.35,105.97,60.93,60.93,60.93,60.93,83.1
1,4,85,0,7.87,111.44,64.08,64.08,64.08,64.08,80.8
1,4,86,0,8.6,103.4,59.46,59.46,59.46,59.46,79.5
1,4,87,0,9.2,83.53,48.03,48.03,48.03,48.03,79.7
1,4,88,0,9.08,55.94,32.17,32.17,32.17,32.17,80.9
1,4,89,0,8.77,26.13,15.02,15.02,15.02,15.02,82.8
1,4,90,0,8.36,0,0,0,0,0,85
1,4,91,0,7.94,0,0,0,0,0,87.1
